name,code,size,n_pop,n_push,f
invalid,0,1,0,0,none
push_i32,1,5,0,1,i32
push_const,2,5,0,1,const
fclosure,3,5,0,1,const
push_atom_value,4,5,0,1,atom
private_symbol,5,5,0,1,atom
undefined,6,1,0,1,none
null,7,1,0,1,none
push_this,8,1,0,1,none
push_false,9,1,0,1,none
push_true,10,1,0,1,none
object,11,1,0,1,none
special_object,12,2,0,1,u8
rest,13,3,0,1,u16
drop,14,1,1,0,none
nip,15,1,2,1,none
nip1,16,1,3,2,none
dup,17,1,1,2,none
dup1,18,1,2,3,none
dup2,19,1,2,4,none
dup3,20,1,3,6,none
insert2,21,1,2,3,none
insert3,22,1,3,4,none
insert4,23,1,4,5,none
perm3,24,1,3,3,none
perm4,25,1,4,4,none
perm5,26,1,5,5,none
swap,27,1,2,2,none
swap2,28,1,4,4,none
rot3l,29,1,3,3,none
rot3r,30,1,3,3,none
rot4l,31,1,4,4,none
rot5l,32,1,5,5,none
call_constructor,33,3,2,1,npop
call,34,3,1,1,npop
tail_call,35,3,1,0,npop
call_method,36,3,2,1,npop
tail_call_method,37,3,2,0,npop
array_from,38,3,0,1,npop
apply,39,3,3,1,u16
return,40,1,1,0,none
return_undef,41,1,0,0,none
check_ctor_return,42,1,1,2,none
check_ctor,43,1,0,0,none
check_brand,44,1,2,2,none
add_brand,45,1,2,0,none
return_async,46,1,1,0,none
throw,47,1,1,0,none
throw_error,48,6,0,0,atom_u8
eval,49,5,1,1,npop_u16
apply_eval,50,3,2,1,u16
regexp,51,1,2,1,none
get_super,52,1,1,1,none
import,53,1,1,1,none
check_var,54,5,0,1,atom
get_var_undef,55,5,0,1,atom
get_var,56,5,0,1,atom
put_var,57,5,1,0,atom
put_var_init,58,5,1,0,atom
put_var_strict,59,5,2,0,atom
get_ref_value,60,1,2,3,none
put_ref_value,61,1,3,0,none
define_var,62,6,0,0,atom_u8
check_define_var,63,6,0,0,atom_u8
define_func,64,6,1,0,atom_u8
